regione,CAV,Settore giudiziario,Servizi comunali,settore sanitario,Regioni/province Autonome,Territorio,Settore Educativo,associazionismo,altro,Province/Città metropolitane,NON CLASSIFICATO
Abruzzo,16,29,58,21,1,7,18,33,20,3,0
Basilicata,0,0,1,0,0,0,0,0,0,0,0
Calabria,14,23,6,6,4,8,3,6,17,7,0
Emilia-Romagna,24,33,102,23,2,7,13,40,28,15,0
Friuli-Venezia Giulia,5,16,32,5,0,0,4,13,6,2,0
Lazio,40,22,16,10,2,4,13,83,30,2,0
Liguria,4,16,5,2,1,0,2,6,2,1,0
Lombardia,80,66,213,82,1,86,27,173,65,21,0
Marche,1,28,12,11,1,31,24,42,5,8,0
Piemonte,19,8,22,24,0,21,5,24,20,11,0
Puglia,22,17,21,13,2,14,3,17,15,3,0
Sardegna,6,27,0,12,1,30,1,25,7,0,0
Toscana,12,30,74,8,2,20,6,12,5,9,0
Trento,3,2,3,15,0,5,2,17,4,0,0
Veneto,18,29,45,6,0,15,12,30,4,2,0
