regione,ASL (consultori familiari e altri servizi territoriali),"Altri ordini professionali (infermieri, ostetriche, giornalisti, commercialisti, ecc.)",Altro,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)","Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",CAV,Carabinieri/Polizia/altre forze dell'ordine,Case Rifugio,Comuni,Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,Ente terzo settore - ETS (iscritto al RUNTS)[1],Ordine avvocati,Ordine medici e odontoiatri e Ordine farmacisti,Ordine psicologi e Ordine assistenti sociali,Organismi di parità,"Ospedale (Pronto soccorso, ecc.)",Polizia Municipale,Prefettura,Procura Minorile/ Tribunale minorile,Procura Ordinaria/Tribunale/Corte d'appello,Province/Città metropolitane,Questura,Regioni/province Autonome,Scuole/Ufficio scolastico provinciale e regionale,Servizi per l'impiego,Servizi sociali comunali,Servizio abusi e maltrattamenti comunale,Settore educativo comunale,Sindacati/Associazioni di categoria,Università
Abruzzo,22,0,33,9,2,15,10,8,55,0,27,1,1,2,3,9,2,4,4,12,5,5,2,16,2,7,0,0,1,3
Basilicata,0,0,2,0,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Calabria,8,0,26,0,0,30,9,3,20,0,8,1,0,1,11,8,5,3,4,14,8,2,7,9,0,5,0,1,0,0
Emilia-Romagna,34,1,71,4,6,44,19,2,106,1,13,4,2,0,12,9,9,9,6,9,22,8,10,12,4,21,0,2,33,5
Friuli-Venezia Giulia,5,0,6,0,0,5,3,1,31,0,7,3,2,0,0,0,0,3,2,7,2,3,0,3,0,1,0,0,3,1
Lazio,18,0,150,7,0,84,13,14,42,6,93,6,1,7,5,18,5,3,4,15,9,6,6,25,4,9,0,5,7,13
Liguria,10,0,14,6,0,13,2,3,6,0,9,0,0,0,0,7,0,5,3,6,1,5,1,1,0,3,0,0,0,1
Lombardia,76,2,110,72,9,81,18,37,274,3,142,7,6,4,12,26,6,13,7,21,21,11,1,32,13,10,1,0,30,5
Marche,15,2,9,28,1,5,9,11,11,0,9,4,3,4,9,2,4,5,3,7,8,5,1,32,0,0,0,0,19,2
Piemonte,29,1,93,21,1,45,5,7,20,0,26,2,1,0,14,21,2,2,1,7,13,2,6,8,1,14,0,1,2,5
Puglia,50,0,70,41,4,37,17,7,47,2,20,4,2,3,5,18,3,4,8,8,4,4,5,10,1,17,0,0,5,2
Sardegna,11,11,7,26,3,11,2,0,0,0,0,6,5,2,4,1,0,4,4,13,1,4,1,1,0,0,0,0,0,0
Toscana,18,1,29,19,4,22,10,1,119,0,17,2,0,0,8,2,7,8,4,17,13,7,3,9,2,7,0,0,8,2
Trento,26,2,20,10,6,6,7,9,3,0,1,1,2,2,0,7,5,0,2,2,0,0,1,3,0,9,0,1,10,0
Umbria,4,0,2,0,0,0,1,0,11,6,0,3,0,0,1,0,0,2,2,8,1,2,1,1,0,0,0,0,0,0
Valle d'Aosta/Vallée d'Aoste,3,0,7,0,0,2,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
Veneto,11,1,14,9,2,26,10,7,65,1,13,12,7,2,8,11,0,8,3,13,2,4,3,13,1,10,1,0,4,7
