regione,CAV,Settore giudiziario,Servizi comunali,settore sanitario,Regioni/province Autonome,Territorio,Settore Educativo,associazionismo,altro,Province/Città metropolitane,NON CLASSIFICATO,Totale riga
Abruzzo,4,0,5,0,0,0,0,3,2,1,0,15
Calabria,8,1,0,0,0,1,0,1,3,2,0,16
Emilia-Romagna,5,1,5,2,0,0,0,7,6,8,0,34
Friuli-Venezia Giulia,0,1,8,0,0,0,0,0,1,0,0,10
Lazio,8,0,4,3,0,0,0,10,7,0,0,32
Liguria,2,0,4,0,0,0,0,0,2,0,0,8
Lombardia,12,3,30,7,0,4,4,13,7,7,0,87
Marche,1,3,2,0,0,3,0,3,2,0,0,14
Piemonte,10,0,8,5,0,8,0,4,29,1,0,65
Puglia,3,0,1,3,1,4,1,4,4,1,0,22
Toscana,1,1,3,2,0,4,0,2,3,5,0,21
Trento,2,0,1,3,0,0,0,1,1,0,0,8
Umbria,0,0,11,0,0,0,0,0,0,0,0,11
Valle d'Aosta/Vallée d'Aoste,0,0,0,0,0,0,0,0,2,0,0,2
Veneto,2,0,8,0,0,5,0,5,2,0,0,22
Totale colonna,58,10,90,25,1,29,5,53,71,25,0,367
